Target type`Target member`Assembly`.NET Framework`.NET Standard`Recommended changes
T:System.Web.Http.Controllers.HttpParameterDescriptor`T:System.Web.Http.Controllers.HttpParameterDescriptor`Voat.UI`Not supported`Not supported`
T:System.Web.Http.Controllers.HttpParameterDescriptor`M:System.Web.Http.Controllers.HttpParameterDescriptor.get_ActionDescriptor`Voat.UI`Not supported`Not supported`
T:System.Web.Http.Controllers.HttpParameterDescriptor`M:System.Web.Http.Controllers.HttpParameterDescriptor.get_DefaultValue`Voat.UI`Not supported`Not supported`
T:System.Web.Http.Controllers.HttpParameterDescriptor`M:System.Web.Http.Controllers.HttpParameterDescriptor.get_IsOptional`Voat.UI`Not supported`Not supported`
T:System.Web.Http.Controllers.HttpParameterDescriptor`M:System.Web.Http.Controllers.HttpParameterDescriptor.get_ParameterType`Voat.UI`Not supported`Not supported`
T:System.Data.DbType`T:System.Data.DbType`Voat.UI`Supported: 1.1+`Supported: 2.0+`
T:System.Data.DbType`T:System.Data.DbType`Voat.Business`Supported: 1.1+`Supported: 2.0+`
T:System.Web.Mvc.UrlHelper`T:System.Web.Mvc.UrlHelper`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.UrlHelper`T:System.Web.Mvc.UrlHelper`Voat.Tests`Not supported`Not supported`
T:System.Web.Mvc.UrlHelper`M:System.Web.Mvc.UrlHelper.#ctor(System.Web.Routing.RequestContext)`Voat.Tests`Not supported`Not supported`
T:System.Web.Mvc.UrlHelper`M:System.Web.Mvc.UrlHelper.Action(System.String)`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.UrlHelper`M:System.Web.Mvc.UrlHelper.Action(System.String,System.String)`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.UrlHelper`M:System.Web.Mvc.UrlHelper.Action(System.String,System.String,System.Object,System.String)`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.UrlHelper`M:System.Web.Mvc.UrlHelper.Content(System.String)`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.UrlHelper`M:System.Web.Mvc.UrlHelper.IsLocalUrl(System.String)`Voat.UI`Not supported`Not supported`
T:System.Configuration.ConfigurationManager`T:System.Configuration.ConfigurationManager`Voat.Logging`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`T:System.Configuration.ConfigurationManager`Voat.RulesEngine`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`T:System.Configuration.ConfigurationManager`Voat.Business`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`T:System.Configuration.ConfigurationManager`Voat.Tests`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`T:System.Configuration.ConfigurationManager`Voat.UI`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`M:System.Configuration.ConfigurationManager.get_AppSettings`Voat.Business`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`M:System.Configuration.ConfigurationManager.get_AppSettings`Voat.Tests`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`M:System.Configuration.ConfigurationManager.get_AppSettings`Voat.UI`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`M:System.Configuration.ConfigurationManager.GetSection(System.String)`Voat.Business`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`M:System.Configuration.ConfigurationManager.GetSection(System.String)`Voat.Logging`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Configuration.ConfigurationManager`M:System.Configuration.ConfigurationManager.GetSection(System.String)`Voat.RulesEngine`Supported: 2.0+`Not supported`Use configuration appropriate for your application model.  For portable Framework Components, expose API for configuration on type.
T:System.Net.WebHeaderCollection`T:System.Net.WebHeaderCollection`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Net.WebHeaderCollection`M:System.Net.WebHeaderCollection.#ctor`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Xml.XmlTextWriter`T:System.Xml.XmlTextWriter`Voat.UI`Supported: 1.1+`Supported: 2.0+`
T:System.Xml.XmlTextWriter`M:System.Xml.XmlTextWriter.#ctor(System.IO.TextWriter)`Voat.UI`Supported: 1.1+`Supported: 2.0+`
T:System.Xml.XmlTextWriter`M:System.Xml.XmlTextWriter.set_Formatting(System.Xml.Formatting)`Voat.UI`Supported: 1.1+`Supported: 2.0+`
T:System.Web.Mvc.ModelMetadataProvider`T:System.Web.Mvc.ModelMetadataProvider`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.HttpGetAttribute`T:System.Web.Mvc.HttpGetAttribute`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.HttpGetAttribute`M:System.Web.Mvc.HttpGetAttribute.#ctor`Voat.UI`Not supported`Not supported`
T:System.ServiceModel.Syndication.SyndicationFeedFormatter`T:System.ServiceModel.Syndication.SyndicationFeedFormatter`Voat.UI`Supported: 3.5+`Not supported`
T:System.ServiceModel.Syndication.SyndicationFeedFormatter`M:System.ServiceModel.Syndication.SyndicationFeedFormatter.WriteTo(System.Xml.XmlWriter)`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.Mvc.ModelStateDictionary`T:System.Web.Mvc.ModelStateDictionary`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.ModelStateDictionary`M:System.Web.Mvc.ModelStateDictionary.AddModelError(System.String,System.String)`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.ModelStateDictionary`M:System.Web.Mvc.ModelStateDictionary.Clear`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.ModelStateDictionary`M:System.Web.Mvc.ModelStateDictionary.get_IsValid`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.ModelStateDictionary`M:System.Web.Mvc.ModelStateDictionary.get_Item(System.String)`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.ModelStateDictionary`M:System.Web.Mvc.ModelStateDictionary.GetEnumerator`Voat.UI`Not supported`Not supported`
T:System.Data.Common.DbDataReader`T:System.Data.Common.DbDataReader`Voat.Business`Supported: 2.0+`Supported: 2.0+`
T:System.Data.Common.DbDataReader`M:System.Data.Common.DbDataReader.get_Item(System.String)`Voat.Business`Supported: 2.0+`Supported: 2.0+`
T:System.Data.Common.DbDataReader`M:System.Data.Common.DbDataReader.Read`Voat.Business`Supported: 2.0+`Supported: 2.0+`
